Tanggal Train,Jam Train,Data Train
3/13/2004,17:00:00,976
3/13/2004,18:00:00,831
3/13/2004,19:00:00,758
3/13/2004,20:00:00,754
3/13/2004,21:00:00,762
3/13/2004,22:00:00,844
3/13/2004,23:00:00,892
3/14/2004,0:00:00,889
3/14/2004,1:00:00,880
3/14/2004,2:00:00,953
3/14/2004,3:00:00,921
3/14/2004,4:00:00,1130
3/14/2004,5:00:00,1272
3/14/2004,6:00:00,1395
3/14/2004,7:00:00,1384
3/14/2004,8:00:00,1225
3/14/2004,9:00:00,1055
3/14/2004,10:00:00,952
3/14/2004,11:00:00,878
3/14/2004,12:00:00,907
3/14/2004,13:00:00,1084
3/14/2004,14:00:00,1104
3/14/2004,15:00:00,1081
3/14/2004,16:00:00,974
3/14/2004,17:00:00,943
3/14/2004,18:00:00,929
3/14/2004,19:00:00,753
3/14/2004,20:00:00,681
3/14/2004,21:00:00,784
3/14/2004,22:00:00,924
3/14/2004,23:00:00,933
3/15/2004,0:00:00,985
3/15/2004,1:00:00,1010
3/15/2004,2:00:00,998
3/15/2004,3:00:00,1128
3/15/2004,4:00:00,1150
3/15/2004,5:00:00,1156
3/15/2004,6:00:00,1030
3/15/2004,7:00:00,897
3/15/2004,8:00:00,652
3/15/2004,9:00:00,537
3/15/2004,10:00:00,622
3/15/2004,11:00:00,710
3/15/2004,12:00:00,831
3/15/2004,13:00:00,830
3/15/2004,14:00:00,838
3/15/2004,15:00:00,926
3/15/2004,16:00:00,950
3/15/2004,17:00:00,857
3/15/2004,18:00:00,631
3/15/2004,19:00:00,542
3/15/2004,20:00:00,565
3/15/2004,21:00:00,678
3/15/2004,22:00:00,764
3/15/2004,23:00:00,1008
3/16/2004,0:00:00,852
3/16/2004,1:00:00,1098
3/16/2004,2:00:00,1320
3/16/2004,3:00:00,1376
3/16/2004,4:00:00,1316
3/16/2004,5:00:00,1412
3/16/2004,6:00:00,1246
3/16/2004,7:00:00,1162
3/16/2004,8:00:00,770
3/16/2004,9:00:00,698
3/16/2004,10:00:00,628
3/16/2004,11:00:00,730
3/16/2004,12:00:00,776
3/16/2004,13:00:00,724
3/16/2004,14:00:00,773
3/16/2004,15:00:00,893
3/16/2004,16:00:00,905
3/16/2004,17:00:00,898
3/16/2004,18:00:00,859
3/16/2004,19:00:00,800
3/16/2004,20:00:00,854
3/16/2004,21:00:00,700
3/16/2004,22:00:00,818
3/16/2004,23:00:00,935
3/17/2004,0:00:00,922
3/17/2004,1:00:00,1066
3/17/2004,2:00:00,1169
3/17/2004,3:00:00,1292
3/17/2004,4:00:00,1396
3/17/2004,5:00:00,1460
3/17/2004,6:00:00,1417
3/17/2004,7:00:00,1038
3/17/2004,8:00:00,702
3/17/2004,9:00:00,553
3/17/2004,10:00:00,703
3/17/2004,11:00:00,819
3/17/2004,12:00:00,905
3/17/2004,13:00:00,861
3/17/2004,14:00:00,887
3/17/2004,15:00:00,1013
3/17/2004,16:00:00,940
3/17/2004,17:00:00,1032
3/17/2004,18:00:00,793
3/17/2004,19:00:00,617
3/17/2004,20:00:00,597
3/17/2004,21:00:00,653
3/17/2004,22:00:00,770
3/17/2004,23:00:00,731
3/18/2004,0:00:00,796
3/18/2004,1:00:00,947
3/18/2004,2:00:00,1057
3/18/2004,3:00:00,1196
3/18/2004,4:00:00,1260
3/18/2004,5:00:00,1293
3/18/2004,6:00:00,1251
3/18/2004,7:00:00,1005
3/18/2004,8:00:00,667
3/18/2004,9:00:00,541
3/18/2004,10:00:00,686
3/18/2004,11:00:00,831
3/18/2004,12:00:00,899
3/18/2004,13:00:00,891
3/18/2004,14:00:00,901
3/18/2004,15:00:00,934
3/18/2004,16:00:00,822
3/18/2004,17:00:00,873
3/18/2004,18:00:00,764
3/18/2004,19:00:00,683
3/18/2004,20:00:00,684
3/18/2004,21:00:00,814
3/18/2004,22:00:00,885
3/18/2004,23:00:00,948
3/19/2004,0:00:00,918
3/19/2004,1:00:00,1021
3/19/2004,2:00:00,1229
3/19/2004,3:00:00,1382
3/19/2004,4:00:00,1440
3/19/2004,5:00:00,1620
3/19/2004,6:00:00,1373
3/19/2004,7:00:00,1054
3/19/2004,8:00:00,671
3/19/2004,9:00:00,575
3/19/2004,10:00:00,701
3/19/2004,11:00:00,759
3/19/2004,12:00:00,813
3/19/2004,13:00:00,793
3/19/2004,14:00:00,771
3/19/2004,15:00:00,724
3/19/2004,16:00:00,708
3/19/2004,17:00:00,690
3/19/2004,18:00:00,704
3/19/2004,19:00:00,677
3/19/2004,20:00:00,698
3/19/2004,21:00:00,748
3/19/2004,22:00:00,904
3/19/2004,23:00:00,948
3/20/2004,0:00:00,1064
3/20/2004,1:00:00,1105
3/20/2004,2:00:00,1182
3/20/2004,3:00:00,1252
3/20/2004,4:00:00,1308
3/20/2004,5:00:00,1260
3/20/2004,6:00:00,1317
3/20/2004,7:00:00,1161
3/20/2004,8:00:00,902
3/20/2004,9:00:00,834
3/20/2004,10:00:00,776
3/20/2004,11:00:00,768
3/20/2004,12:00:00,782
3/20/2004,13:00:00,809
3/20/2004,14:00:00,900
3/20/2004,15:00:00,980
3/20/2004,16:00:00,1036
3/20/2004,17:00:00,930
3/20/2004,18:00:00,856
3/20/2004,19:00:00,734
3/20/2004,20:00:00,733
3/20/2004,21:00:00,785
3/20/2004,22:00:00,864
3/20/2004,23:00:00,905
3/21/2004,0:00:00,835
3/21/2004,1:00:00,941
3/21/2004,2:00:00,1004
3/21/2004,3:00:00,987
3/21/2004,4:00:00,1029
3/21/2004,5:00:00,1136
3/21/2004,6:00:00,1300
3/21/2004,7:00:00,1143
3/21/2004,8:00:00,1062
3/21/2004,9:00:00,996
3/21/2004,10:00:00,914
3/21/2004,11:00:00,911
3/21/2004,12:00:00,953
3/21/2004,13:00:00,981
3/21/2004,14:00:00,1144
3/21/2004,15:00:00,962
3/21/2004,16:00:00,1060
3/21/2004,17:00:00,961
3/21/2004,18:00:00,769
3/21/2004,19:00:00,823
3/21/2004,20:00:00,769
3/21/2004,21:00:00,883
3/21/2004,22:00:00,933
3/21/2004,23:00:00,920
3/22/2004,0:00:00,995
3/22/2004,1:00:00,1050
3/22/2004,2:00:00,1417
3/22/2004,3:00:00,1813
3/22/2004,4:00:00,1756
3/22/2004,5:00:00,1786
3/22/2004,6:00:00,1480
3/22/2004,7:00:00,1072
3/22/2004,8:00:00,732
3/22/2004,9:00:00,711
3/22/2004,10:00:00,1032
3/22/2004,11:00:00,1026
3/22/2004,12:00:00,947
3/22/2004,13:00:00,955
3/22/2004,14:00:00,952
3/22/2004,15:00:00,965
3/22/2004,16:00:00,964
3/22/2004,17:00:00,928
3/22/2004,18:00:00,720
3/22/2004,19:00:00,678
3/22/2004,20:00:00,678
3/22/2004,21:00:00,775
3/22/2004,22:00:00,920
3/22/2004,23:00:00,1142
3/23/2004,0:00:00,1204
3/23/2004,1:00:00,1271
3/23/2004,2:00:00,1298
3/23/2004,3:00:00,1522
3/23/2004,4:00:00,1701
3/23/2004,5:00:00,1908
3/23/2004,6:00:00,1542
3/23/2004,7:00:00,1178
3/23/2004,8:00:00,851
3/23/2004,9:00:00,684
3/23/2004,10:00:00,760
3/23/2004,11:00:00,792
3/23/2004,12:00:00,837
3/23/2004,13:00:00,770
3/23/2004,14:00:00,881
3/23/2004,15:00:00,924
3/23/2004,16:00:00,944
3/23/2004,17:00:00,818
3/23/2004,18:00:00,962
3/23/2004,19:00:00,854
3/23/2004,20:00:00,812
3/23/2004,21:00:00,1006
3/23/2004,22:00:00,1141
3/23/2004,23:00:00,1105
3/24/2004,0:00:00,1137
3/24/2004,1:00:00,1151
3/24/2004,2:00:00,1320
3/24/2004,3:00:00,1493
3/24/2004,4:00:00,1477
3/24/2004,5:00:00,1572
3/24/2004,6:00:00,1496
3/24/2004,7:00:00,1186
3/24/2004,8:00:00,832
3/24/2004,9:00:00,652
3/24/2004,10:00:00,762
3/24/2004,11:00:00,950
3/24/2004,12:00:00,1012
3/24/2004,13:00:00,959
3/24/2004,14:00:00,879
3/24/2004,15:00:00,1015
3/24/2004,16:00:00,829
3/24/2004,17:00:00,774
3/24/2004,18:00:00,828
3/24/2004,19:00:00,681
3/24/2004,20:00:00,795
3/24/2004,21:00:00,928
3/24/2004,22:00:00,1064
3/24/2004,23:00:00,1186
3/25/2004,0:00:00,1168
3/25/2004,1:00:00,1400
3/25/2004,2:00:00,1450
3/25/2004,3:00:00,1564
3/25/2004,4:00:00,1707
3/25/2004,5:00:00,1935
3/25/2004,6:00:00,1604
3/25/2004,7:00:00,1260
3/25/2004,8:00:00,902
3/25/2004,9:00:00,740
3/25/2004,10:00:00,969
3/25/2004,11:00:00,1039
3/25/2004,12:00:00,1081
3/25/2004,13:00:00,958
3/25/2004,14:00:00,976
3/25/2004,15:00:00,986
3/25/2004,16:00:00,939
3/25/2004,17:00:00,968
3/25/2004,18:00:00,836
3/25/2004,19:00:00,666
3/25/2004,20:00:00,692
3/25/2004,21:00:00,904
3/25/2004,22:00:00,1083
3/25/2004,23:00:00,1154
3/26/2004,0:00:00,1098
3/26/2004,1:00:00,1131
3/26/2004,2:00:00,1208
3/26/2004,3:00:00,1449
3/26/2004,4:00:00,1398
3/26/2004,5:00:00,1210
3/26/2004,6:00:00,1130
3/26/2004,7:00:00,1015
3/26/2004,8:00:00,783
3/26/2004,9:00:00,682
3/26/2004,10:00:00,772
3/26/2004,11:00:00,826
3/26/2004,12:00:00,948
3/26/2004,13:00:00,915
3/26/2004,14:00:00,1015
3/26/2004,15:00:00,1152
3/26/2004,16:00:00,976
3/26/2004,17:00:00,886
3/26/2004,18:00:00,868
3/26/2004,19:00:00,876
3/26/2004,20:00:00,916
3/26/2004,21:00:00,1097
3/26/2004,22:00:00,1185
3/26/2004,23:00:00,1237
3/27/2004,0:00:00,1144
3/27/2004,1:00:00,1290
3/27/2004,2:00:00,1142
3/27/2004,3:00:00,1191
3/27/2004,4:00:00,1209
3/27/2004,5:00:00,1417
3/27/2004,6:00:00,1373
3/27/2004,7:00:00,1270
3/27/2004,8:00:00,1050
3/27/2004,9:00:00,922
3/27/2004,10:00:00,942
3/27/2004,11:00:00,992
3/27/2004,12:00:00,994
3/27/2004,13:00:00,950
3/27/2004,14:00:00,888
3/27/2004,15:00:00,1051
3/27/2004,16:00:00,934
3/27/2004,17:00:00,916
3/27/2004,18:00:00,886
3/27/2004,19:00:00,827
3/27/2004,20:00:00,841
3/27/2004,21:00:00,948
3/27/2004,22:00:00,1023
3/27/2004,23:00:00,906
3/28/2004,0:00:00,930
3/28/2004,1:00:00,939
3/28/2004,2:00:00,1013
3/28/2004,3:00:00,935
3/28/2004,4:00:00,1110
3/28/2004,5:00:00,1325
3/28/2004,6:00:00,1251
3/28/2004,7:00:00,1219
3/28/2004,8:00:00,1136
3/28/2004,9:00:00,959
3/28/2004,10:00:00,918
3/28/2004,11:00:00,933
3/28/2004,12:00:00,1020
3/28/2004,13:00:00,1159
3/28/2004,14:00:00,1285
3/28/2004,15:00:00,1189
3/28/2004,16:00:00,1213
3/28/2004,17:00:00,1217
3/28/2004,18:00:00,1174
3/28/2004,19:00:00,1068
3/28/2004,20:00:00,1102
3/28/2004,21:00:00,1261
3/28/2004,22:00:00,1266
3/28/2004,23:00:00,1300
3/29/2004,0:00:00,1396
3/29/2004,1:00:00,1588
3/29/2004,2:00:00,1643
3/29/2004,3:00:00,1557
3/29/2004,4:00:00,1496
3/29/2004,5:00:00,1441
3/29/2004,6:00:00,1309
3/29/2004,7:00:00,844
3/29/2004,8:00:00,714
3/29/2004,9:00:00,1111
3/29/2004,10:00:00,1133
3/29/2004,11:00:00,1105
3/29/2004,12:00:00,1129
3/29/2004,13:00:00,1070
3/29/2004,14:00:00,1131
3/29/2004,15:00:00,1131
3/29/2004,16:00:00,1098
3/29/2004,17:00:00,996
3/29/2004,18:00:00,905
3/29/2004,19:00:00,957
3/29/2004,20:00:00,1066
3/29/2004,21:00:00,1221
3/29/2004,22:00:00,1278
3/29/2004,23:00:00,1339
3/30/2004,0:00:00,1418
3/30/2004,1:00:00,1468
3/30/2004,2:00:00,1402
3/30/2004,3:00:00,1457
3/30/2004,4:00:00,1462
3/30/2004,5:00:00,1341
3/30/2004,6:00:00,1080
3/30/2004,7:00:00,839
3/30/2004,8:00:00,642
3/30/2004,9:00:00,674
3/30/2004,10:00:00,695
3/30/2004,11:00:00,734
3/30/2004,12:00:00,742
3/30/2004,13:00:00,791
3/30/2004,14:00:00,942
3/30/2004,15:00:00,991
3/30/2004,16:00:00,1060
3/30/2004,17:00:00,874
3/30/2004,18:00:00,853
3/30/2004,19:00:00,815
3/30/2004,20:00:00,884
3/30/2004,21:00:00,1072
3/30/2004,22:00:00,1147
3/30/2004,23:00:00,1094
3/31/2004,0:00:00,1180
3/31/2004,1:00:00,1287
3/31/2004,2:00:00,1222
3/31/2004,3:00:00,1613
3/31/2004,4:00:00,1699
3/31/2004,5:00:00,1473
3/31/2004,6:00:00,1220
3/31/2004,7:00:00,721
3/31/2004,8:00:00,639
3/31/2004,9:00:00,872
3/31/2004,10:00:00,957
3/31/2004,11:00:00,902
3/31/2004,12:00:00,779
3/31/2004,13:00:00,846
3/31/2004,14:00:00,804
3/31/2004,15:00:00,755
3/31/2004,16:00:00,850
3/31/2004,17:00:00,810
3/31/2004,18:00:00,821
3/31/2004,19:00:00,819
3/31/2004,20:00:00,882
3/31/2004,21:00:00,1044
3/31/2004,22:00:00,1078
3/31/2004,23:00:00,1098
4/1/2004,0:00:00,986
4/1/2004,1:00:00,1031
4/1/2004,2:00:00,1085
4/1/2004,3:00:00,1099
4/1/2004,4:00:00,1237
4/1/2004,5:00:00,1176
4/1/2004,6:00:00,1002
4/1/2004,7:00:00,675
4/1/2004,8:00:00,539
4/1/2004,9:00:00,631
4/1/2004,10:00:00,800
4/1/2004,11:00:00,970
4/1/2004,12:00:00,974
4/1/2004,13:00:00,937
4/1/2004,14:00:00,865
4/1/2004,15:00:00,865
4/1/2004,16:00:00,865
4/1/2004,17:00:00,793
4/1/2004,18:00:00,700
4/1/2004,19:00:00,624
4/1/2004,20:00:00,666
4/1/2004,21:00:00,827
4/1/2004,22:00:00,844
4/1/2004,23:00:00,898
4/2/2004,0:00:00,921
4/2/2004,1:00:00,986
4/2/2004,2:00:00,1180
4/2/2004,3:00:00,1137
4/2/2004,4:00:00,1195
4/2/2004,5:00:00,1197
4/2/2004,6:00:00,1055
4/2/2004,7:00:00,798
4/2/2004,8:00:00,634
4/2/2004,9:00:00,634
4/2/2004,10:00:00,706
4/2/2004,11:00:00,738
4/2/2004,12:00:00,748
4/2/2004,13:00:00,765
4/2/2004,14:00:00,790
4/2/2004,15:00:00,809
4/2/2004,16:00:00,872
4/2/2004,17:00:00,778
4/2/2004,18:00:00,685
4/2/2004,19:00:00,641
4/2/2004,20:00:00,618
4/2/2004,21:00:00,771
4/2/2004,22:00:00,841
4/2/2004,23:00:00,761
4/3/2004,0:00:00,828
4/3/2004,1:00:00,936
4/3/2004,2:00:00,986
4/3/2004,3:00:00,1056
4/3/2004,4:00:00,1145
4/3/2004,5:00:00,1103
4/3/2004,6:00:00,1112
4/3/2004,7:00:00,846
4/3/2004,8:00:00,704
4/3/2004,9:00:00,720
4/3/2004,10:00:00,785
4/3/2004,11:00:00,781
4/3/2004,12:00:00,781
4/3/2004,13:00:00,866
4/3/2004,14:00:00,915
4/3/2004,15:00:00,882
4/3/2004,16:00:00,834
4/3/2004,17:00:00,812
4/3/2004,18:00:00,764
4/3/2004,19:00:00,625
4/3/2004,20:00:00,736
4/3/2004,21:00:00,873
4/3/2004,22:00:00,762
4/3/2004,23:00:00,847
4/4/2004,0:00:00,884
4/4/2004,1:00:00,929
4/4/2004,2:00:00,980
4/4/2004,3:00:00,965
4/4/2004,4:00:00,1090
4/4/2004,5:00:00,1171
4/4/2004,6:00:00,1020
4/4/2004,7:00:00,1110
4/4/2004,8:00:00,1063
4/4/2004,9:00:00,868
4/4/2004,10:00:00,846
4/4/2004,11:00:00,906
4/4/2004,12:00:00,895
4/4/2004,13:00:00,969
4/4/2004,14:00:00,1057
4/4/2004,15:00:00,863
4/4/2004,16:00:00,841
4/4/2004,17:00:00,845
4/4/2004,18:00:00,838
4/4/2004,19:00:00,755
4/4/2004,20:00:00,830
4/4/2004,21:00:00,989
4/4/2004,22:00:00,909
4/4/2004,23:00:00,930
4/5/2004,0:00:00,1007
4/5/2004,1:00:00,1239
4/5/2004,2:00:00,1233
4/5/2004,3:00:00,1456
4/5/2004,4:00:00,1536
4/5/2004,5:00:00,1175
4/5/2004,6:00:00,945
4/5/2004,7:00:00,767
4/5/2004,8:00:00,570
4/5/2004,9:00:00,647
4/5/2004,10:00:00,703
4/5/2004,11:00:00,713
4/5/2004,12:00:00,684
4/5/2004,13:00:00,682
4/5/2004,14:00:00,733
4/5/2004,15:00:00,803
4/5/2004,16:00:00,832
4/5/2004,17:00:00,678
4/5/2004,18:00:00,631
4/5/2004,19:00:00,651
4/5/2004,20:00:00,742
4/5/2004,21:00:00,852
4/5/2004,22:00:00,884
4/5/2004,23:00:00,890
4/6/2004,0:00:00,1065
4/6/2004,1:00:00,1188
4/6/2004,2:00:00,1357
4/6/2004,3:00:00,1267
4/6/2004,4:00:00,1303
4/6/2004,5:00:00,1141
4/6/2004,6:00:00,880
4/6/2004,7:00:00,594
4/6/2004,8:00:00,494
4/6/2004,9:00:00,588
4/6/2004,10:00:00,707
4/6/2004,11:00:00,881
4/6/2004,12:00:00,715
4/6/2004,13:00:00,755
4/6/2004,14:00:00,811
4/6/2004,15:00:00,872
4/6/2004,16:00:00,849
4/6/2004,17:00:00,760
4/6/2004,18:00:00,728
4/6/2004,19:00:00,726
4/6/2004,20:00:00,724
4/6/2004,21:00:00,896
4/6/2004,22:00:00,996
4/6/2004,23:00:00,1053
4/7/2004,0:00:00,1127
4/7/2004,1:00:00,1308
4/7/2004,2:00:00,1475
4/7/2004,3:00:00,1749
4/7/2004,4:00:00,1826
4/7/2004,5:00:00,1705
4/7/2004,6:00:00,1257
4/7/2004,7:00:00,777
4/7/2004,8:00:00,716
4/7/2004,9:00:00,865
4/7/2004,10:00:00,911
4/7/2004,11:00:00,991
4/7/2004,12:00:00,937
4/7/2004,13:00:00,883
4/7/2004,14:00:00,1030
4/7/2004,15:00:00,927
4/7/2004,16:00:00,1038
4/7/2004,17:00:00,847
4/7/2004,18:00:00,799
4/7/2004,19:00:00,774
4/7/2004,20:00:00,876
4/7/2004,21:00:00,1235
4/7/2004,22:00:00,1153
4/7/2004,23:00:00,957
4/8/2004,0:00:00,1074
4/8/2004,1:00:00,1016
4/8/2004,2:00:00,1087
4/8/2004,3:00:00,1183
4/8/2004,4:00:00,1366
4/8/2004,5:00:00,1291
4/8/2004,6:00:00,1169
4/8/2004,7:00:00,820
4/8/2004,8:00:00,596
4/8/2004,9:00:00,676
4/8/2004,10:00:00,813
4/8/2004,11:00:00,818
4/8/2004,12:00:00,865
4/8/2004,13:00:00,816
4/8/2004,14:00:00,845
4/8/2004,15:00:00,856
4/8/2004,16:00:00,888
4/8/2004,17:00:00,723
4/8/2004,18:00:00,646
4/8/2004,19:00:00,579
4/8/2004,20:00:00,746
4/8/2004,21:00:00,968
4/8/2004,22:00:00,993
4/8/2004,23:00:00,930
4/9/2004,0:00:00,930
4/9/2004,1:00:00,930
4/9/2004,2:00:00,930
4/9/2004,3:00:00,930
4/9/2004,4:00:00,930
4/9/2004,5:00:00,930
4/9/2004,6:00:00,930
4/9/2004,7:00:00,930
4/9/2004,8:00:00,930
4/9/2004,9:00:00,930
4/9/2004,10:00:00,930
4/9/2004,11:00:00,930
4/9/2004,12:00:00,930
4/9/2004,13:00:00,930
4/9/2004,14:00:00,930
4/9/2004,15:00:00,930
4/9/2004,16:00:00,930
4/9/2004,17:00:00,930
4/9/2004,18:00:00,930
4/9/2004,19:00:00,930
4/9/2004,20:00:00,930
4/9/2004,21:00:00,930
4/9/2004,22:00:00,930
4/9/2004,23:00:00,866
4/10/2004,0:00:00,1014
4/10/2004,1:00:00,929
4/10/2004,2:00:00,951
4/10/2004,3:00:00,1142
4/10/2004,4:00:00,1163
4/10/2004,5:00:00,1121
4/10/2004,6:00:00,988
4/10/2004,7:00:00,895
4/10/2004,8:00:00,837
4/10/2004,9:00:00,869
4/10/2004,10:00:00,897
4/10/2004,11:00:00,971
4/10/2004,12:00:00,973
4/10/2004,13:00:00,1054
4/10/2004,14:00:00,1152
4/10/2004,15:00:00,1055
4/10/2004,16:00:00,1084
4/10/2004,17:00:00,1027
4/10/2004,18:00:00,949
4/10/2004,19:00:00,871
4/10/2004,20:00:00,861
4/10/2004,21:00:00,916
4/10/2004,22:00:00,812
4/10/2004,23:00:00,844
4/11/2004,0:00:00,1047
4/11/2004,1:00:00,1144
4/11/2004,2:00:00,1160
4/11/2004,3:00:00,1162
4/11/2004,4:00:00,1224
4/11/2004,5:00:00,1244
4/11/2004,6:00:00,1259
4/11/2004,7:00:00,1240
4/11/2004,8:00:00,1196
4/11/2004,9:00:00,1177
4/11/2004,10:00:00,1040
4/11/2004,11:00:00,1014
4/11/2004,12:00:00,969
4/11/2004,13:00:00,1209
4/11/2004,14:00:00,1452
4/11/2004,15:00:00,1409
4/11/2004,16:00:00,1348
4/11/2004,17:00:00,1299
4/11/2004,18:00:00,1225
4/11/2004,19:00:00,1079
4/11/2004,20:00:00,1220
4/11/2004,21:00:00,1223
4/11/2004,22:00:00,1272
4/11/2004,23:00:00,1256
4/12/2004,0:00:00,1474
4/12/2004,1:00:00,1615
4/12/2004,2:00:00,1448
4/12/2004,3:00:00,1452
4/12/2004,4:00:00,1822
4/12/2004,5:00:00,1923
4/12/2004,6:00:00,1756
4/12/2004,7:00:00,1613
4/12/2004,8:00:00,1453
4/12/2004,9:00:00,1268
4/12/2004,10:00:00,1210
4/12/2004,11:00:00,1105
4/12/2004,12:00:00,1201
4/12/2004,13:00:00,1415
4/12/2004,14:00:00,1415
4/12/2004,15:00:00,1189
4/12/2004,16:00:00,1222
4/12/2004,17:00:00,1197
4/12/2004,18:00:00,1149
4/12/2004,19:00:00,1065
4/12/2004,20:00:00,1176
4/12/2004,21:00:00,1269
4/12/2004,22:00:00,1271
4/12/2004,23:00:00,1322
4/13/2004,0:00:00,1368
4/13/2004,1:00:00,1499
4/13/2004,2:00:00,1581
4/13/2004,3:00:00,1482
4/13/2004,4:00:00,1565
4/13/2004,5:00:00,1251
4/13/2004,6:00:00,960
4/13/2004,7:00:00,667
4/13/2004,8:00:00,620
4/13/2004,9:00:00,797
4/13/2004,10:00:00,956
4/13/2004,11:00:00,934
4/13/2004,12:00:00,972
4/13/2004,13:00:00,994
4/13/2004,14:00:00,935
4/13/2004,15:00:00,877
4/13/2004,16:00:00,920
4/13/2004,17:00:00,755
4/13/2004,18:00:00,630
4/13/2004,19:00:00,631
4/13/2004,20:00:00,726
4/13/2004,21:00:00,845
4/13/2004,22:00:00,843
4/13/2004,23:00:00,925
4/14/2004,0:00:00,1032
4/14/2004,1:00:00,1086
4/14/2004,2:00:00,1207
4/14/2004,3:00:00,1325
4/14/2004,4:00:00,1349
4/14/2004,5:00:00,1191
4/14/2004,6:00:00,947
4/14/2004,7:00:00,669
4/14/2004,8:00:00,569
4/14/2004,9:00:00,659
4/14/2004,10:00:00,780
4/14/2004,11:00:00,882
4/14/2004,12:00:00,859
4/14/2004,13:00:00,877
4/14/2004,14:00:00,788
4/14/2004,15:00:00,790
4/14/2004,16:00:00,895
4/14/2004,17:00:00,826
4/14/2004,18:00:00,799
4/14/2004,19:00:00,789
4/14/2004,20:00:00,675
4/14/2004,21:00:00,730
4/14/2004,22:00:00,870
4/14/2004,23:00:00,964
4/15/2004,0:00:00,1034
4/15/2004,1:00:00,1163
4/15/2004,2:00:00,1243
4/15/2004,3:00:00,1331
4/15/2004,4:00:00,1416
4/15/2004,5:00:00,1255
4/15/2004,6:00:00,906
4/15/2004,7:00:00,625
4/15/2004,8:00:00,609
4/15/2004,9:00:00,633
4/15/2004,10:00:00,661
4/15/2004,11:00:00,661
4/15/2004,12:00:00,689
4/15/2004,13:00:00,709
4/15/2004,14:00:00,681
4/15/2004,15:00:00,748
4/15/2004,16:00:00,746
4/15/2004,17:00:00,594
4/15/2004,18:00:00,533
4/15/2004,19:00:00,482
4/15/2004,20:00:00,553
4/15/2004,21:00:00,587
4/15/2004,22:00:00,802
4/15/2004,23:00:00,877
4/16/2004,0:00:00,882
4/16/2004,1:00:00,887
4/16/2004,2:00:00,899
4/16/2004,3:00:00,1159
4/16/2004,4:00:00,1030
4/16/2004,5:00:00,941
4/16/2004,6:00:00,778
4/16/2004,7:00:00,579
4/16/2004,8:00:00,636
4/16/2004,9:00:00,827
4/16/2004,10:00:00,823
4/16/2004,11:00:00,781
4/16/2004,12:00:00,802
4/16/2004,13:00:00,653
4/16/2004,14:00:00,613
4/16/2004,15:00:00,650
4/16/2004,16:00:00,649
4/16/2004,17:00:00,582
4/16/2004,18:00:00,627
4/16/2004,19:00:00,560
4/16/2004,20:00:00,627
4/16/2004,21:00:00,737
4/16/2004,22:00:00,803
4/16/2004,23:00:00,794
4/17/2004,0:00:00,846
4/17/2004,1:00:00,869
4/17/2004,2:00:00,887
4/17/2004,3:00:00,958
4/17/2004,4:00:00,1158
4/17/2004,5:00:00,1055
4/17/2004,6:00:00,1002
4/17/2004,7:00:00,905
4/17/2004,8:00:00,849
4/17/2004,9:00:00,911
4/17/2004,10:00:00,838
4/17/2004,11:00:00,969
